Id,Predicted
John Carter ,6.090816327
Avengers: Age of Ultron ,7.679518072
Cars 2 ,6.670676692
Green Lantern ,7.053020134
Terminator Salvation ,7.053020134
Star Trek Beyond ,6.408823529
X-Men: Apocalypse ,7.039655172
The Dark Knight ,8.373846154
Up ,8.373846154
Monsters vs. Aliens ,6.670676692
Inside Out ,7.053020134
Wreck-It Ralph ,7.053020134
How to Train Your Dragon ,7.679518072
Terminator 3: Rise of the Machines ,7.053020134
Kung Fu Panda 3 ,6.12016129
Star Trek ,7.679518072
Gods of Egypt ,6.408823529
Turbo ,6.12016129
War of the Worlds ,7.053020134
Speed Racer ,6.408823529
Fantastic Four ,6.090816327
Real Steel ,7.053020134
Ender's Game ,6.090816327
Kingdom of Heaven ,7.039655172
The Martian ,7.679518072
Django Unchained ,8.373846154
Point Break ,5.893103448
Surf's Up ,6.12016129
Finding Nemo ,8.373846154
Seventh Son ,6.12016129
Jurassic Park III ,5.188888889
The Girl with the Dragon Tattoo ,7.053020134
Alvin and the Chipmunks: The Road Chip ,5.288105727
Seabiscuit ,6.408823529
Enemy of the State ,7.039655172
It's Complicated ,5.893103448
The Fast and the Furious: Tokyo Drift ,6.090816327
Click ,7.053020134
Cats & Dogs: The Revenge of Kitty Galore ,5.288105727
Lilo & Stitch ,6.670676692
RED 2 ,6.090816327
Zookeeper ,5.555882353
Déjà Vu ,6.213186813
What Dreams May Come ,5.893103448
Journey 2: The Mysterious Island ,6.12016129
Inspector Gadget ,5.893103448
Grown Ups ,6.090816327
Vertical Limit ,6.408823529
The Man from U.N.C.L.E. ,6.090816327
Driven ,5.893103448
Cars ,7.053020134
The SpongeBob Movie: Sponge Out of Water ,5.555882353
Wolf ,6.408823529
The Abyss ,7.039655172
I Spy ,5.555882353
The Twilight Saga: Eclipse ,6.090816327
Need for Speed ,6.090816327
Lincoln ,7.039655172
Death Race ,6.670676692
Hudson Hawk ,5.555882353
Two Weeks Notice ,6.12016129
Days of Thunder ,5.893103448
The Scorch Trials ,6.090816327
The Family Man ,6.408823529
Up Close & Personal ,6.408823529
The Boxtrolls ,5.555882353
Mercury Rising ,5.893103448
The Last Castle ,6.408823529
Dark Water ,5.335294118
The Internship ,6.090816327
The Nutty Professor ,6.12016129
Muppets Most Wanted ,5.893103448
Flags of Our Fathers ,7.039655172
Lucky You ,6.408823529
Valentine's Day ,6.090816327
Casino ,7.053020134
Robin Hood: Prince of Thieves ,7.039655172
Patch Adams ,5.893103448
22 Jump Street ,7.053020134
Payback ,6.670676692
"Crazy, Stupid, Love. ",7.053020134
The Game ,7.053020134
Into the Storm ,6.12016129
For Love of the Game ,6.408823529
